scenario,path,request_num,latency_ms,success,useful,quality_score,tier
garbage,naive,1,0,1,0,0.410,naive
garbage,naive,2,0,1,0,0.270,naive
garbage,naive,3,0,1,0,0.270,naive
garbage,naive,4,0,1,0,0.410,naive
garbage,naive,5,0,1,0,0.270,naive
garbage,naive,6,0,1,0,0.270,naive
garbage,naive,7,0,1,0,0.270,naive
garbage,naive,8,0,1,0,0.270,naive
garbage,naive,9,0,1,0,0.270,naive
garbage,naive,10,0,1,0,0.410,naive
garbage,naive,11,0,1,0,0.270,naive
garbage,naive,12,0,1,0,0.270,naive
garbage,naive,13,0,1,0,0.410,naive
garbage,naive,14,0,1,0,0.270,naive
garbage,naive,15,0,1,0,0.270,naive
garbage,naive,16,0,1,0,0.270,naive
garbage,naive,17,0,1,0,0.270,naive
garbage,naive,18,0,1,0,0.270,naive
garbage,naive,19,0,1,0,0.410,naive
garbage,naive,20,0,1,0,0.270,naive
garbage,naive,21,0,1,0,0.410,naive
garbage,naive,22,0,1,0,0.270,naive
garbage,naive,23,0,1,0,0.270,naive
garbage,naive,24,0,1,0,0.270,naive
garbage,naive,25,0,1,0,0.270,naive
garbage,naive,26,0,1,0,0.270,naive
garbage,naive,27,0,1,0,0.270,naive
garbage,naive,28,0,1,0,0.410,naive
garbage,naive,29,0,1,0,0.270,naive
garbage,naive,30,0,1,0,0.270,naive
garbage,naive,31,0,1,0,0.410,naive
garbage,naive,32,0,1,0,0.270,naive
garbage,naive,33,0,1,0,0.270,naive
garbage,naive,34,0,1,0,0.410,naive
garbage,naive,35,0,1,0,0.270,naive
garbage,naive,36,0,1,0,0.410,naive
garbage,naive,37,0,1,0,0.270,naive
garbage,naive,38,0,1,0,0.270,naive
garbage,naive,39,0,1,0,0.270,naive
garbage,naive,40,0,1,0,0.270,naive
garbage,naive,41,0,1,0,0.270,naive
garbage,naive,42,0,1,0,0.270,naive
garbage,naive,43,0,1,0,0.270,naive
garbage,naive,44,0,1,0,0.410,naive
garbage,naive,45,0,1,0,0.410,naive
garbage,naive,46,0,1,0,0.410,naive
garbage,naive,47,0,1,0,0.410,naive
garbage,naive,48,0,1,0,0.270,naive
garbage,naive,49,0,1,0,0.270,naive
garbage,naive,50,0,1,0,0.270,naive
garbage,agentshield,1,0,1,1,1.000,fallback
garbage,agentshield,2,0,1,1,1.000,fallback
garbage,agentshield,3,0,1,1,1.000,fallback
garbage,agentshield,4,0,1,1,1.000,fallback
garbage,agentshield,5,0,1,1,1.000,fallback
garbage,agentshield,6,0,1,1,1.000,fallback
garbage,agentshield,7,0,1,1,1.000,fallback
garbage,agentshield,8,0,1,1,1.000,fallback
garbage,agentshield,9,0,1,1,1.000,fallback
garbage,agentshield,10,0,1,1,1.000,fallback
garbage,agentshield,11,0,1,1,1.000,fallback
garbage,agentshield,12,0,1,1,1.000,fallback
garbage,agentshield,13,0,1,1,1.000,fallback
garbage,agentshield,14,0,1,1,1.000,fallback
garbage,agentshield,15,0,1,1,1.000,fallback
garbage,agentshield,16,0,1,1,1.000,fallback
garbage,agentshield,17,0,1,1,1.000,fallback
garbage,agentshield,18,0,1,1,1.000,fallback
garbage,agentshield,19,0,1,1,1.000,fallback
garbage,agentshield,20,0,1,1,1.000,fallback
garbage,agentshield,21,0,1,1,1.000,fallback
garbage,agentshield,22,0,1,1,1.000,fallback
garbage,agentshield,23,0,1,1,1.000,fallback
garbage,agentshield,24,0,1,1,1.000,fallback
garbage,agentshield,25,0,1,1,1.000,fallback
garbage,agentshield,26,0,1,1,1.000,fallback
garbage,agentshield,27,0,1,1,1.000,fallback
garbage,agentshield,28,0,1,1,1.000,fallback
garbage,agentshield,29,0,1,1,1.000,fallback
garbage,agentshield,30,0,1,1,1.000,fallback
garbage,agentshield,31,0,1,1,1.000,fallback
garbage,agentshield,32,0,1,1,1.000,fallback
garbage,agentshield,33,0,1,1,1.000,fallback
garbage,agentshield,34,0,1,1,1.000,fallback
garbage,agentshield,35,0,1,1,1.000,fallback
garbage,agentshield,36,0,1,1,1.000,fallback
garbage,agentshield,37,0,1,1,1.000,fallback
garbage,agentshield,38,0,1,1,1.000,fallback
garbage,agentshield,39,0,1,1,1.000,fallback
garbage,agentshield,40,0,1,1,1.000,fallback
garbage,agentshield,41,0,1,1,1.000,fallback
garbage,agentshield,42,0,1,1,1.000,fallback
garbage,agentshield,43,0,1,1,1.000,fallback
garbage,agentshield,44,0,1,1,1.000,fallback
garbage,agentshield,45,0,1,1,1.000,fallback
garbage,agentshield,46,0,1,1,1.000,fallback
garbage,agentshield,47,0,1,1,1.000,fallback
garbage,agentshield,48,0,1,1,1.000,fallback
garbage,agentshield,49,0,1,1,1.000,fallback
garbage,agentshield,50,0,1,1,1.000,fallback
brownout,naive,1,7875,1,1,1.000,naive
brownout,naive,2,8035,1,0,0.410,naive
brownout,naive,3,8567,1,1,1.000,naive
brownout,naive,4,364,1,1,1.000,naive
brownout,naive,5,466,1,1,1.000,naive
brownout,naive,6,480,1,1,1.000,naive
brownout,naive,7,8912,1,1,1.000,naive
brownout,naive,8,8072,1,1,1.000,naive
brownout,naive,9,206,1,1,1.000,naive
brownout,naive,10,7159,1,0,0.270,naive
brownout,naive,11,8139,1,1,1.000,naive
brownout,naive,12,7993,1,1,1.000,naive
brownout,naive,13,301,1,1,1.000,naive
brownout,naive,14,327,1,0,0.270,naive
brownout,naive,15,283,1,1,1.000,naive
brownout,naive,16,231,1,0,0.270,naive
brownout,naive,17,207,1,1,1.000,naive
brownout,naive,18,8728,1,1,1.000,naive
brownout,naive,19,8595,1,1,1.000,naive
brownout,naive,20,7176,1,1,1.000,naive
brownout,naive,21,8172,1,0,0.410,naive
brownout,naive,22,490,1,0,0.270,naive
brownout,naive,23,8173,1,1,1.000,naive
brownout,naive,24,424,1,1,1.000,naive
brownout,naive,25,281,1,1,1.000,naive
brownout,naive,26,7728,1,0,0.270,naive
brownout,naive,27,307,1,1,1.000,naive
brownout,naive,28,8507,1,0,0.410,naive
brownout,naive,29,8889,1,1,1.000,naive
brownout,naive,30,246,1,1,1.000,naive
brownout,naive,31,218,1,1,1.000,naive
brownout,naive,32,225,1,0,0.410,naive
brownout,naive,33,7260,1,1,1.000,naive
brownout,naive,34,491,1,1,1.000,naive
brownout,naive,35,7859,1,0,0.270,naive
brownout,naive,36,420,1,1,1.000,naive
brownout,naive,37,8501,1,1,1.000,naive
brownout,naive,38,8638,1,1,1.000,naive
brownout,naive,39,457,1,1,1.000,naive
brownout,naive,40,7649,1,1,1.000,naive
brownout,naive,41,438,1,1,1.000,naive
brownout,naive,42,385,1,1,1.000,naive
brownout,naive,43,497,1,1,1.000,naive
brownout,naive,44,379,1,1,1.000,naive
brownout,naive,45,8086,1,1,1.000,naive
brownout,naive,46,376,1,1,1.000,naive
brownout,naive,47,307,1,1,1.000,naive
brownout,naive,48,7360,1,1,1.000,naive
brownout,naive,49,7615,1,0,0.270,naive
brownout,naive,50,8815,1,0,0.270,naive
brownout,agentshield,1,8943,1,1,1.000,primary
brownout,agentshield,2,231,1,1,1.000,primary
brownout,agentshield,3,7867,1,1,1.000,primary
brownout,agentshield,4,440,1,1,1.000,primary
brownout,agentshield,5,8016,1,1,1.000,primary
brownout,agentshield,6,483,1,1,1.000,fallback
brownout,agentshield,7,7419,1,1,1.000,primary
brownout,agentshield,8,8190,1,1,1.000,primary
brownout,agentshield,9,456,1,1,1.000,primary
brownout,agentshield,10,448,1,1,1.000,primary
brownout,agentshield,11,7770,1,1,1.000,primary
brownout,agentshield,12,7633,1,1,1.000,primary
brownout,agentshield,13,7700,1,1,1.000,fallback
brownout,agentshield,14,7298,1,1,1.000,primary
brownout,agentshield,15,7424,1,1,1.000,primary
brownout,agentshield,16,239,1,1,1.000,primary
brownout,agentshield,17,8172,1,1,1.000,primary
brownout,agentshield,18,500,1,1,1.000,primary
brownout,agentshield,19,218,1,1,1.000,primary
brownout,agentshield,20,426,1,1,1.000,primary
brownout,agentshield,21,230,1,1,1.000,primary
brownout,agentshield,22,354,1,1,1.000,primary
brownout,agentshield,23,464,1,1,1.000,primary
brownout,agentshield,24,243,1,1,1.000,primary
brownout,agentshield,25,8740,1,1,1.000,primary
brownout,agentshield,26,248,1,1,1.000,primary
brownout,agentshield,27,433,1,1,1.000,primary
brownout,agentshield,28,8737,1,1,1.000,primary
brownout,agentshield,29,7231,1,1,1.000,fallback
brownout,agentshield,30,7871,1,1,1.000,primary
brownout,agentshield,31,450,1,1,1.000,primary
brownout,agentshield,32,368,1,1,1.000,fallback
brownout,agentshield,33,359,1,1,1.000,fallback
brownout,agentshield,34,7436,1,1,1.000,primary
brownout,agentshield,35,8170,1,1,1.000,fallback
brownout,agentshield,36,7678,1,1,1.000,primary
brownout,agentshield,37,298,1,1,1.000,fallback
brownout,agentshield,38,7962,1,1,1.000,primary
brownout,agentshield,39,237,1,1,1.000,fallback
brownout,agentshield,40,246,1,1,1.000,primary
brownout,agentshield,41,7015,1,1,1.000,primary
brownout,agentshield,42,7693,1,1,1.000,fallback
brownout,agentshield,43,253,1,1,1.000,primary
brownout,agentshield,44,7142,1,1,1.000,primary
brownout,agentshield,45,277,1,1,1.000,fallback
brownout,agentshield,46,395,1,1,1.000,primary
brownout,agentshield,47,243,1,1,1.000,fallback
brownout,agentshield,48,238,1,1,1.000,primary
brownout,agentshield,49,8654,1,1,1.000,primary
brownout,agentshield,50,319,1,1,1.000,primary
down,naive,1,2,0,0,0.000,naive
down,naive,2,0,0,0,0.000,naive
down,naive,3,0,0,0,0.000,naive
down,naive,4,0,0,0,0.000,naive
down,naive,5,0,0,0,0.000,naive
down,naive,6,0,0,0,0.000,naive
down,naive,7,0,0,0,0.000,naive
down,naive,8,0,0,0,0.000,naive
down,naive,9,0,0,0,0.000,naive
down,naive,10,0,0,0,0.000,naive
down,naive,11,0,0,0,0.000,naive
down,naive,12,0,0,0,0.000,naive
down,naive,13,0,0,0,0.000,naive
down,naive,14,0,0,0,0.000,naive
down,naive,15,0,0,0,0.000,naive
down,naive,16,0,0,0,0.000,naive
down,naive,17,0,0,0,0.000,naive
down,naive,18,0,0,0,0.000,naive
down,naive,19,0,0,0,0.000,naive
down,naive,20,0,0,0,0.000,naive
down,naive,21,0,0,0,0.000,naive
down,naive,22,0,0,0,0.000,naive
down,naive,23,0,0,0,0.000,naive
down,naive,24,0,0,0,0.000,naive
down,naive,25,0,0,0,0.000,naive
down,naive,26,0,0,0,0.000,naive
down,naive,27,0,0,0,0.000,naive
down,naive,28,0,0,0,0.000,naive
down,naive,29,0,0,0,0.000,naive
down,naive,30,0,0,0,0.000,naive
down,naive,31,0,0,0,0.000,naive
down,naive,32,0,0,0,0.000,naive
down,naive,33,0,0,0,0.000,naive
down,naive,34,0,0,0,0.000,naive
down,naive,35,0,0,0,0.000,naive
down,naive,36,0,0,0,0.000,naive
down,naive,37,0,0,0,0.000,naive
down,naive,38,0,0,0,0.000,naive
down,naive,39,0,0,0,0.000,naive
down,naive,40,0,0,0,0.000,naive
down,naive,41,0,0,0,0.000,naive
down,naive,42,0,0,0,0.000,naive
down,naive,43,0,0,0,0.000,naive
down,naive,44,0,0,0,0.000,naive
down,naive,45,0,0,0,0.000,naive
down,naive,46,0,0,0,0.000,naive
down,naive,47,0,0,0,0.000,naive
down,naive,48,0,0,0,0.000,naive
down,naive,49,0,0,0,0.000,naive
down,naive,50,0,0,0,0.000,naive
down,agentshield,1,0,1,1,1.000,fallback
down,agentshield,2,0,1,1,1.000,fallback
down,agentshield,3,0,1,1,1.000,fallback
down,agentshield,4,0,1,1,1.000,fallback
down,agentshield,5,0,1,1,1.000,fallback
down,agentshield,6,0,1,1,1.000,fallback
down,agentshield,7,0,1,1,1.000,fallback
down,agentshield,8,0,1,1,1.000,fallback
down,agentshield,9,0,1,1,1.000,fallback
down,agentshield,10,0,1,1,1.000,fallback
down,agentshield,11,0,1,1,1.000,fallback
down,agentshield,12,0,1,1,1.000,fallback
down,agentshield,13,0,1,1,1.000,fallback
down,agentshield,14,0,1,1,1.000,fallback
down,agentshield,15,0,1,1,1.000,fallback
down,agentshield,16,0,1,1,1.000,fallback
down,agentshield,17,0,1,1,1.000,fallback
down,agentshield,18,0,1,1,1.000,fallback
down,agentshield,19,0,1,1,1.000,fallback
down,agentshield,20,0,1,1,1.000,fallback
down,agentshield,21,0,1,1,1.000,fallback
down,agentshield,22,0,1,1,1.000,fallback
down,agentshield,23,0,1,1,1.000,fallback
down,agentshield,24,0,1,1,1.000,fallback
down,agentshield,25,0,1,1,1.000,fallback
down,agentshield,26,0,1,1,1.000,fallback
down,agentshield,27,0,1,1,1.000,fallback
down,agentshield,28,0,1,1,1.000,fallback
down,agentshield,29,0,1,1,1.000,fallback
down,agentshield,30,0,1,1,1.000,fallback
down,agentshield,31,0,1,1,1.000,fallback
down,agentshield,32,0,1,1,1.000,fallback
down,agentshield,33,0,1,1,1.000,fallback
down,agentshield,34,0,1,1,1.000,fallback
down,agentshield,35,0,1,1,1.000,fallback
down,agentshield,36,0,1,1,1.000,fallback
down,agentshield,37,0,1,1,1.000,fallback
down,agentshield,38,0,1,1,1.000,fallback
down,agentshield,39,0,1,1,1.000,fallback
down,agentshield,40,0,1,1,1.000,fallback
down,agentshield,41,0,1,1,1.000,fallback
down,agentshield,42,0,1,1,1.000,fallback
down,agentshield,43,0,1,1,1.000,fallback
down,agentshield,44,0,1,1,1.000,fallback
down,agentshield,45,0,1,1,1.000,fallback
down,agentshield,46,0,1,1,1.000,fallback
down,agentshield,47,0,1,1,1.000,fallback
down,agentshield,48,0,1,1,1.000,fallback
down,agentshield,49,0,1,1,1.000,fallback
down,agentshield,50,0,1,1,1.000,fallback
